"Survival_Time","Censoring_Status","Habitat"
203,1,"Wetland"
26,0,"Mountain"
185,0,"Wetland"
32,0,"Mountain"
47,1,"Forest"
127,0,"Grassland"
33,0,"Grassland"
29,0,"Mountain"
322,0,"Forest"
191,1,"Mountain"
282,1,"Forest"
29,0,"Forest"
160,1,"Wetland"
132,0,"Savanna"
45,0,"Grassland"
300,1,"Grassland"
68,0,"Forest"
27,0,"Mountain"
29,0,"Mountain"
126,0,"Mountain"
207,0,"Savanna"
50,0,"Savanna"
75,0,"Forest"
115,0,"Forest"
2,0,"Wetland"
125,0,"Mountain"
227,0,"Grassland"
120,1,"Forest"
27,0,"Mountain"
81,0,"Wetland"
4,0,"Forest"
68,1,"Grassland"
138,0,"Mountain"
43,0,"Savanna"
47,0,"Savanna"
10,1,"Mountain"
283,0,"Forest"
96,0,"Mountain"
32,0,"Savanna"
125,0,"Wetland"
92,0,"Savanna"
41,0,"Savanna"
53,0,"Wetland"
39,0,"Savanna"
7,0,"Mountain"
158,0,"Forest"
28,0,"Grassland"
237,1,"Grassland"
33,0,"Savanna"
184,0,"Grassland"
46,0,"Wetland"
23,1,"Forest"
281,0,"Mountain"
85,0,"Grassland"
159,1,"Grassland"
5,0,"Savanna"
66,0,"Mountain"
140,1,"Mountain"
64,0,"Forest"
145,0,"Savanna"
35,0,"Mountain"
145,0,"Forest"
10,1,"Forest"
14,0,"Savanna"
162,0,"Grassland"
3,0,"Wetland"
29,0,"Grassland"
89,1,"Savanna"
9,1,"Wetland"
64,0,"Wetland"
150,0,"Savanna"
132,1,"Mountain"
175,0,"Mountain"
17,0,"Forest"
93,0,"Savanna"
147,1,"Forest"
4,0,"Wetland"
59,0,"Grassland"
68,0,"Forest"
15,0,"Wetland"
148,0,"Forest"
258,0,"Grassland"
91,1,"Forest"
35,0,"Savanna"
203,0,"Savanna"
127,0,"Savanna"
61,0,"Mountain"
144,1,"Forest"
34,1,"Mountain"
2,0,"Forest"
152,0,"Forest"
301,0,"Grassland"
159,0,"Mountain"
350,1,"Grassland"
6,0,"Grassland"
67,0,"Mountain"
349,0,"Forest"
24,0,"Savanna"
100,0,"Forest"
28,1,"Mountain"
141,1,"Forest"
94,1,"Mountain"
17,0,"Mountain"
52,1,"Mountain"
10,0,"Wetland"
38,0,"Grassland"
118,0,"Grassland"
53,0,"Mountain"
473,0,"Mountain"
5,0,"Forest"
60,0,"Grassland"
205,0,"Forest"
124,0,"Forest"
8,0,"Mountain"
49,1,"Wetland"
103,0,"Grassland"
99,0,"Forest"
88,1,"Wetland"
317,0,"Forest"
21,0,"Wetland"
136,0,"Forest"
317,0,"Savanna"
28,1,"Wetland"
26,0,"Forest"
490,0,"Wetland"
63,0,"Forest"
17,0,"Mountain"
37,0,"Mountain"
43,0,"Mountain"
81,1,"Wetland"
35,0,"Savanna"
88,0,"Savanna"
14,0,"Wetland"
301,0,"Grassland"
6,0,"Wetland"
63,0,"Wetland"
2,0,"Wetland"
37,0,"Forest"
25,0,"Savanna"
86,1,"Savanna"
13,0,"Forest"
42,1,"Grassland"
116,0,"Mountain"
49,0,"Savanna"
70,0,"Savanna"
9,0,"Grassland"
35,1,"Wetland"
362,0,"Grassland"
69,0,"Wetland"
92,0,"Grassland"
32,0,"Mountain"
265,0,"Wetland"
20,0,"Grassland"
93,0,"Savanna"
91,0,"Forest"
20,0,"Mountain"
63,0,"Mountain"
186,0,"Grassland"
171,0,"Mountain"
218,0,"Forest"
21,0,"Wetland"
29,0,"Wetland"
267,0,"Forest"
18,0,"Mountain"
171,0,"Savanna"
353,0,"Grassland"
194,1,"Forest"
66,0,"Wetland"
417,0,"Savanna"
93,0,"Savanna"
108,0,"Mountain"
3,0,"Mountain"
48,0,"Savanna"
24,0,"Savanna"
203,0,"Mountain"
2,0,"Wetland"
291,0,"Grassland"
3,0,"Mountain"
70,0,"Savanna"
63,1,"Grassland"
215,0,"Forest"
414,1,"Savanna"
19,0,"Wetland"
31,0,"Mountain"
206,0,"Grassland"
43,0,"Savanna"
7,0,"Wetland"
335,0,"Forest"
65,0,"Forest"
70,0,"Forest"
4,0,"Grassland"
100,1,"Savanna"
251,1,"Forest"
9,0,"Savanna"
22,1,"Mountain"
21,0,"Forest"
29,0,"Mountain"
87,0,"Wetland"
64,0,"Grassland"
136,0,"Savanna"
5,0,"Wetland"
90,0,"Wetland"
30,1,"Grassland"
39,0,"Savanna"
136,0,"Forest"
59,0,"Grassland"
25,0,"Savanna"
15,1,"Forest"
35,0,"Forest"
47,0,"Mountain"
31,0,"Grassland"
204,0,"Savanna"
0,0,"Grassland"
251,0,"Mountain"
67,0,"Savanna"
11,1,"Mountain"
21,0,"Forest"
62,0,"Wetland"
75,1,"Grassland"
305,0,"Grassland"
149,0,"Mountain"
277,0,"Forest"
179,0,"Wetland"
13,0,"Grassland"
38,0,"Forest"
39,0,"Grassland"
84,0,"Forest"
89,1,"Forest"
96,0,"Grassland"
7,0,"Grassland"
21,0,"Grassland"
1,0,"Mountain"
1,1,"Mountain"
84,0,"Mountain"
139,0,"Forest"
18,1,"Forest"
147,0,"Grassland"
13,0,"Forest"
129,0,"Savanna"
24,0,"Grassland"
68,0,"Forest"
85,0,"Wetland"
10,0,"Grassland"
16,0,"Wetland"
9,0,"Savanna"
30,0,"Forest"
11,0,"Forest"
